Company,Returnee Count
KPMG US,61
PwC,27
TOP International Holding,26
KPMG,19
Origins,15
Clinique,15
Capital One,14
JPMorgan Chase & Co.,14
CyberDuo,11
GV (Google Ventures),10
Deloitte,10
Temasek,9
KIKICHIC,9
Founders Fund,9
Wipro,9
Boston Consulting Group (BCG),8
KPMG Australia,7
Accenture,7
摩根士丹利,7
STRV,7
Christian Dior Couture,7
The Estée Lauder Companies Inc.,7
摩根大通,6
DS Smith,6
Thomson Reuters,6
Morgan Stanley,6
Florida Blue,6
CHANEL,5
IBM,5
AT&T,5
Wipro Limited,5
Bank of America,5
The Home Depot,4
Microsoft,4
KPMG LLP,4
Alibaba Group,4
L'Oréal,4
Gallagher,3
AlixPartners,3
Venrock,3
AbbVie,3
HCA Healthcare,3
Wipro Technologies,3
McKinsey & Company,3
BHP,3
Bechtel Corporation,3
EY,3
Enel,3
"Veracyte, Inc.",3
The Outward Bound Trust,3
"Shumaker, Loop & Kendrick, LLP",2
"Glossier, Inc.",2
IHS Markit,2
L'Oréal Professionnel Paris,2
Grant Thornton LLP (US),2
Bridgewater College,2
Google,2
University of the District of Columbia,2
U.S. House of Representatives,2
Citi,2
Appirio,2
Tesla,2
Comcast,2
Prudential Financial,2
Booz & Company,2
PNC,2
Syngenta,2
New Enterprise Associates (NEA),2
Gartner,2
"Southern Illinois University, Carbondale",2
American Cancer Society,2
Deloitte Consulting,2
The Boston Consulting Group,2
BlackRock,2
Slalom Consulting,2
ServiceNow,2
PricewaterhouseCoopers,2
Delta Air Lines,2
Belk,2
MorganFranklin Consulting,2
Adobe,2
Verizon,2
KPMG Brazil,2
ADP,2
U.S. Department of Commerce,2
Procter & Gamble,2
NC Sustainable Energy Association,2
Salesforce,2
Facebook,2
Grant Thornton LLP,2
CLINICX,2
Expanse,1
Guayaba Capital LLC,1
Grant Thornton Brasil,1
CyberSecOp - Cyber Security Operations Consulting,1
Loop Capital Markets,1
"Archer & Greiner, P.C.",1
Flex,1
Berenji & Associates,1
"JPMorgan Chase Bank, N.A.",1
State of Colorado,1
Twilio,1
Diversity Way-Maker Consulting,1
Eaton,1
Key Equipment Finance,1
Woodruff Sawyer,1
Freshfields Bruckhaus Deringer,1
Novartis,1
Risk Management Agency - USDA,1
Awesomeness,1
On Deck,1
Binti,1
SunPower Corporation,1
TuSimple,1
Epic,1
Raquel Allegra,1
IACC Holdings,1
Charles Schwab,1
Global Trust Investments,1
Advisory Research Investment Management,1
CVC Capital Partners,1
NANA Plastic Surgery,1
MBNA America Bank N.A,1
Value Line,1
House Committee on Energy and Commerce,1
Sol Systems,1
Battery Ventures,1
Lionsgate,1
Target,1
TV Loonland,1
First Union Home Equity Corp.,1
Wells Fargo,1
Skyways,1
DOHA BANK,1
Meta,1
National Air and Space Intelligence Center,1
Aerotek,1
Technologies Nouvelles /  AXIMUM  (COLAS),1
COLAS,1
AECOM,1
GEUS,1
The North Carolina Partnership for Children,1
STANDUP-SPEAKOUT-NC,1
Teads,1
Allstate,1
Surge AI,1
Alcatel-Lucent,1
Nokia,1
City of London Corporation,1
IBM Research,1
Integrated Web Solutions,1
Cashify,1
MakeMyTrip.com,1
Washington State Department of Transportation,1
Peace Corps,1
Lyft,1
Walsall Football Club Limited,1
MakkahMunicipality,1
Saudi Pan Kingdom Company - SAPAC,1
EVgo,1
Enel Green Power,1
"DelSolar Co., Ltd. (Delta Group)",1
Envect,1
Southern California Edison (SCE),1
SMUD,1
"NC Solar Now, Inc.",1
Supreme Court of North Carolina,1
Open Road Renewables,1
Science Based Targets initiative,1
U.S. Geological Survey (USGS),1
Aarhus University,1
University of Wyoming,1
National Grid,1
Institute for Personalized Learning,1
RJM International,1
KPMG UK,1
Department of Energy and Climate Change,1
Root Inc.,1
Oxfam New Zealand,1
EPRI: Electric Power Research Institute,1
Electric Power Research Institute (EPRI),1
WUSA-TV,1
WJZ | CBS Baltimore,1
The AES Corporation,1
DS Smith Packaging,1
"BIBO Trgovina, Robert Baškovič s.p.",1
"Casino' Portorož, d. d.",1
Peach Pubs,1
PRR,1
160over90,1
Smokey's Brick Oven Tavern,1
"Above & Beyond Studios, Inc.",1
ActiveProspect,1
Stripe,1
"Binti, Inc.",1
Bobbie,1
Envoy,1
Railbookers Group,1
The Open Agency,1
Jack Wills | Aubin & Wills,1
Curology,1
Onduline Avrasya A.S,1
Fairmont Rey Juan Carlos I,1
Moments DMC,1
ARMS Reliability,1
salesforce.com,1
Performics,1
"First New York Securities, First New York Capital Management",1
Capital Turkish Connections,1
Michael Page,1
Tufts University School of Medicine,1
Brigham and Women's Hospital,1
Network Rail,1
BCLC,1
Cordium,1
EQT Partners/EQT AB,1
Acrisure,1
Airbus Defence and Space,1
Airbus,1
Seattle Housing Authority,1
M&T Bank,1
The Lo Down With D-Lo,1
BlackFord Partners/JG Consulting,1
Friedemann Goldberg Wargo Hess LLP,1
SiriusXM,1
Kantar Consulting,1
Applus+Mongolia,1
Queensland Police Service,1
Downer MEI,1
"Bechtel, London",1
Magpies Sporting Club Mackay,1
Emotive,1
WSP in the UK,1
Atkins,1
Radancy,1
"Department of Civil Engineering, METU Ankara",1
Outreach,1
NRG Energy,1
Cordium (Now part of ACA Compliance Group),1
Avrios International AG,1
Home24 GmbH,1
Vimcar GmbH,1
Poggio Labs,1
Bain & Company,1
Apartment List,1
StreetEasy (acq. by Zillow),1
Gold House,1
Harvard Medical School,1
Faire,1
Stella.ai,1
Netflix,1
Bridgewater Associates,1
Perkins Coie LLP,1
SKOPOS Louis Allen Worldwide,1
WorkTribe Dynamics,1
Wells Fargo Securities,1
Vaco,1
EquaTerra,1
Black & Veatch,1
H.I.G. Capital,1
The Carlyle Group,1
Prysm Inc.,1
Revolution Prep,1
Upworthy,1
State of Illinois,1
Lake Forest College,1
QuantmRE,1
CSC,1
"University of California, Berkeley",1
CSX,1
Ryan Estis and Associates,1
Sahodari Foundation,1
Project Angel Food,1
Monumental Sports & Entertainment,1
Betfair Romania Development,1
Lamar Advertising Company,1
A+E Networks,1
VOW,1
Creative Artists Agency,1
The Walt Disney Studios,1
General Electric,1
Spoon University,1
US Securities and Exchange Commission,1
Wolters Kluwer,1
New Liberty Capital,1
PointClickCare,1
Kindred Healthcare,1
Belzarg,1
U.S. Department of Energy (DOE),1
Zero Emission Transportation Association,1
Enel Group,1
S&P Global Platts,1
Cypress Creek Renewables,1
Columbia University in the City of New York,1
Louis Berger,1
"Love Aifu Cosmetics Co., Ltd.",1
La Queen Aesthetics Skin Care,1
CapitaLand,1
McGill University,1
Facebook AI Research,1
"Law Office of Morrie I. Levine, P.A.",1
Cultured Living Atlanta (previously Southwest Atlanta) magazine,1
Emory University School of Law,1
Girls Who Invest,1
Project Worldwide,1
Rossman P.C.,1
Thurgood Marshall College Fund,1
Informa,1
hughjgallagher.com,1
Baxter International Inc.,1
Takeda Pharmaceuticals,1
SCOUT Bags,1
Kids2,1
Barclays Investment Bank,1
A10 Investimentos e Assessoria,1
Tata Consultancy Services,1
Very Tall Productions/Ellen Rakieten Ent.,1
Bassett Vance Productions,1
Junior Achievement of Georgia,1
